doc_id	OID	GID	oriSent	genSent	repToken	oriConsistent	pairConsistent	goldCoref	goldCorefText	oriCoref	oriCorefText	newCoref	newCorefText	pairPrecision	pairRecall	oriDepth	newDepth	depthConsistent	keepTest	isBuggy
bn/voa/01/voa_0179	73	23	The extension of the federal order will require power suppliers in the West to keep sending their surplus electricity to California.	The extension of the federal order will obviate power suppliers in the West to keep sending their surplus electricity to California.	require -> obviate	TRUE	TRUE	"[[[8, 12], [16, 16]]]"	"[['power suppliers in the West', 'their']]"	"[[[8, 12], [16, 16]]]"	"[['power suppliers in the West', 'their']]"	"[[[8, 12], [16, 16]]]"	"[['power suppliers in the West', 'their']]"	100	100	"{10, 5}"	"{10, 5}"	TRUE	TRUE	FALSE
mz/sinorama/10/ectb_1069	47	12	"Then spend more time with them, and encourage them to get more exercise and take care of themselves."	"Then spend more time with them, and promote them to get more exercise and take care of themselves."	encourage -> promote	TRUE	TRUE	"[[[9, 9], [5, 5], [18, 18]]]"	"[['them', 'them', 'themselves']]"	"[[[5, 5], [9, 9], [18, 18]]]"	"[['them', 'them', 'themselves']]"	"[[[5, 5], [9, 9], [18, 18]]]"	"[['them', 'them', 'themselves']]"	100	100	"{11, 6}"	"{11, 6}"	TRUE	TRUE	FALSE
mz/sinorama/10/ectb_1069	47	14	"Then spend more time with them, and encourage them to get more exercise and take care of themselves."	"Then spend more time with them, and encourage them to end more exercise and take care of themselves."	get -> end	TRUE	TRUE	"[[[9, 9], [5, 5], [18, 18]]]"	"[['them', 'them', 'themselves']]"	"[[[5, 5], [9, 9], [18, 18]]]"	"[['them', 'them', 'themselves']]"	"[[[5, 5], [9, 9], [18, 18]]]"	"[['them', 'them', 'themselves']]"	100	100	"{11, 6}"	"{11, 6}"	TRUE	TRUE	FALSE
nw/wsj/23/wsj_2372	10	4	The Senate also dropped a plan by its Finance Committee that would have increased the income threshold beyond which senior citizens have their Social Security benefits reduced.	The Senate also dropped a program by its Finance Committee that would have increased the income threshold beyond which senior citizens have their Social Security benefits reduced.	plan -> program	TRUE	TRUE	"[[[22, 22], [19, 20]], [[7, 7], [0, 1]]]"	"[['their', 'senior citizens'], ['its', 'The Senate']]"	"[[[0, 1], [7, 7]], [[19, 20], [22, 22]]]"	"[['The Senate', 'its'], ['senior citizens', 'their']]"	"[[[0, 1], [7, 7]], [[19, 20], [22, 22]]]"	"[['The Senate', 'its'], ['senior citizens', 'their']]"	100	100	"{16, 3, 6, 14}"	"{16, 3, 6, 14}"	TRUE	TRUE	FALSE
bn/cnn/01/cnn_0109	199	9	The suspects could be executed if they are convicted of the attack.	The suspects could be executed if they are convicted of the fire.	attack -> fire	TRUE	TRUE	"[[[6, 6], [0, 1]]]"	"[['they', 'The suspects']]"	"[[[0, 1], [6, 6]]]"	"[['The suspects', 'they']]"	"[[[0, 1], [6, 6]]]"	"[['The suspects', 'they']]"	100	100	"{8, 3}"	"{8, 3}"	TRUE	TRUE	FALSE
nw/wsj/23/wsj_2356	143	5	"He reiterated his opposition to such funding, but expressed hope of a compromise."	"He reiterated his enemy to such funding, but expressed hope of a compromise."	opposition -> enemy	TRUE	TRUE	"[[[0, 0], [2, 2]]]"	"[['He', 'his']]"	"[[[0, 0], [2, 2]]]"	"[['He', 'his']]"	"[[[0, 0], [2, 2]]]"	"[['He', 'his']]"	100	100	"{3, 5}"	"{3, 5}"	TRUE	TRUE	FALSE
bn/voa/00/voa_0039	40	9	"To those who attacked them, we say you will not find a safe harbor, we will find you and justice will prevail."	"To those who attacked them, we say you will not see a safe harbor, we will find you and justice will prevail."	find -> see	FALSE	TRUE	"[[[1, 4], [19, 19], [8, 8]], [[6, 6], [16, 16]]]"	"[['those who attacked them', 'you', 'you'], ['we', 'we']]"	"[[[1, 4], [4, 4], [8, 8], [19, 19]], [[6, 6], [16, 16]]]"	"[['those who attacked them', 'them', 'you', 'you'], ['we', 'we']]"	"[[[1, 4], [4, 4], [8, 8], [19, 19]], [[6, 6], [16, 16]]]"	"[['those who attacked them', 'them', 'you', 'you'], ['we', 'we']]"	100	100	"{3, 5, 7, 8, 9}"	"{3, 5, 7, 8, 9}"	TRUE	TRUE	TRUE
bn/voa/00/voa_0009	116	21	"This is another thing that the Indians were glad to hear him say, and he also said that both India and Russia suffer from the same sort of terrorism, as he put it, referring of course to the separatist militancies in Chechnya and Russia and in Jammu and Kashmir."	"This is another thing that the Indians were glad to hear him say, and he also said that both Bharat and Russia suffer from the same sort of terrorism, as he put it, referring of course to the separatist militancies in Chechnya and Russia and in Jammu and Kashmir."	India -> Bharat	FALSE	TRUE	"[[[22, 22], [46, 46]], [[20, 20], [5, 6]], [[11, 11], [32, 32], [15, 15]]]"	"[['Russia', 'Russia'], ['India', 'the Indians'], ['him', 'he', 'he']]"	"[[[11, 11], [15, 15], [32, 32]], [[22, 22], [46, 46]]]"	"[['him', 'he', 'he'], ['Russia', 'Russia']]"	"[[[11, 11], [15, 15], [32, 32]], [[22, 22], [46, 46]]]"	"[['him', 'he', 'he'], ['Russia', 'Russia']]"	100	100	"{4, 6, 7, 8, 10, 12, 14, 16, 17}"	"{4, 6, 7, 8, 10, 12, 14, 16, 17}"	TRUE	TRUE	TRUE
nw/xinhua/02/chtb_0279	145	21	"Qichen Qian told the French guest that France is the first big western country to establish diplomatic relations with China, and that over the past 30 years since the establishment of diplomatic relations between China and France, the development of bilateral relations has been satisfactory overall despite some complications."	"Qichen Qian told the French guest that France is the first big western nation to establish diplomatic relations with China, and that over the past 30 years since the establishment of diplomatic relations between China and France, the development of bilateral relations has been satisfactory overall despite some complications."	country -> nation	TRUE	TRUE	"[[[37, 37], [7, 7]], [[19, 19], [35, 35]]]"	"[['France', 'France'], ['China', 'China']]"	"[[[7, 7], [37, 37]], [[19, 19], [35, 35]]]"	"[['France', 'France'], ['China', 'China']]"	"[[[7, 7], [37, 37]], [[19, 19], [35, 35]]]"	"[['France', 'France'], ['China', 'China']]"	100	100	"{7, 13, 14}"	"{7, 13, 14}"	TRUE	TRUE	FALSE
bn/pri/00/pri_0079	69	38	"The book is filled with marvelous descriptions of the gorges through which he walks, the mountains that he climbs, indeed the book is called Soul Mountain, the mountain on which he hopes in some way or another to get in touch with his soul, his individual soul, as opposed to that mass kind of soul being enforced upon him by the Communist Chinese authorities, the social realism that the cadres would have him write in."	"The book is filled with marvelous descriptions of the gorges through which he walks, the mountains that he climbs, indeed the book is called Soul Mountain, the mountain on which he hopes in some way or another to induce in touch with his soul, his individual soul, as opposed to that mass kind of soul being enforced upon him by the Communist Chinese authorities, the social realism that the cadres would have him write in."	get -> induce	FALSE	TRUE	"[[[33, 33], [78, 78], [63, 63], [45, 45], [48, 48], [18, 18], [12, 12]], [[22, 23], [0, 1]]]"	"[['he', 'him', 'him', 'his', 'his', 'he', 'he'], ['the book', 'The book']]"	"[[[0, 1], [12, 12], [18, 18], [22, 23], [33, 33], [45, 45], [48, 48], [63, 63], [78, 78]], [[45, 46], [48, 50]]]"	"[['The book', 'he', 'he', 'the book', 'he', 'his', 'his', 'him', 'him'], ['his soul', 'his individual soul']]"	"[[[0, 1], [12, 12], [18, 18], [22, 23], [33, 33], [45, 45], [48, 48], [63, 63], [78, 78]], [[45, 46], [48, 50]]]"	"[['The book', 'he', 'he', 'the book', 'he', 'his', 'his', 'him', 'him'], ['his soul', 'his individual soul']]"	100	100	"{3, 10, 12, 14, 15, 17, 20}"	"{3, 10, 12, 14, 15, 17, 20}"	TRUE	TRUE	TRUE
bn/cnn/04/cnn_0419	105	4	Luster returned to Los Angeles yesterday from Mexico following his capture Tuesday by American bounty hunters.	Luster returned to Los Angeles yesterday from Mexico following his capture Tuesday by American bounteousness hunters.	bounty -> bounteousness	TRUE	FALSE	"[[[9, 9], [0, 0]]]"	"[['his', 'Luster']]"	"[[[0, 0], [9, 9]]]"	"[['Luster', 'his']]"	[]	[]	0	0	"{3, 7}"	set()	FALSE	TRUE	TRUE
bn/voa/00/voa_0009	95	14	"They are going to allow India to assemble about 140 of these bombers here in India, and they are also going to finalize a deal whereby India will acquire the Admiral Gorshkov."	"They are going to allow India to forgather about 140 of these bombers here in India, and they are also going to finalize a deal whereby India will acquire the Admiral Gorshkov."	assemble -> forgather	TRUE	TRUE	"[[[15, 15], [5, 5], [27, 27]], [[0, 0], [18, 18]]]"	"[['India', 'India', 'India'], ['They', 'they']]"	"[[[0, 0], [18, 18]], [[5, 5], [15, 15], [27, 27]]]"	"[['They', 'they'], ['India', 'India', 'India']]"	"[[[0, 0], [18, 18]], [[5, 5], [15, 15], [27, 27]]]"	"[['They', 'they'], ['India', 'India', 'India']]"	100	100	"{4, 9, 11, 13}"	"{4, 9, 11, 13}"	TRUE	TRUE	FALSE
nw/wsj/23/wsj_2328	61	17	Financial Corp. said it agreed to buy the bonds after a representative of Ivan F. Boesky Corp. visited it in November 1983 and said Financial Corp. could improve its financial condition by purchasing the bonds.	Financial Corp. said it agreed to buy the bonds after a representative of Ivan F. Boesky Corp. visited it in November 1983 and said Financial Corp. could ameliorate its financial condition by purchasing the bonds.	improve -> ameliorate	TRUE	TRUE	"[[[0, 1], [24, 25], [28, 28], [3, 3], [18, 18]], [[33, 34], [7, 8]]]"	"[['Financial Corp.', 'Financial Corp.', 'its', 'it', 'it'], ['the bonds', 'the bonds']]"	"[[[0, 1], [3, 3], [18, 18], [24, 25], [28, 28]], [[7, 8], [33, 34]]]"	"[['Financial Corp.', 'it', 'it', 'Financial Corp.', 'its'], ['the bonds', 'the bonds']]"	"[[[0, 1], [3, 3], [18, 18], [24, 25], [28, 28]], [[7, 8], [33, 34]]]"	"[['Financial Corp.', 'it', 'it', 'Financial Corp.', 'its'], ['the bonds', 'the bonds']]"	100	100	"{3, 6, 10, 13, 14, 16, 18, 21}"	"{3, 6, 10, 13, 14, 16, 18, 21}"	TRUE	TRUE	FALSE
bn/pri/00/pri_0019	179	11	"Still, she promised that the United States would take appropriate action if terrorists were found to be behind the blast, a sentiment echoed later in the day by President Clinton."	"Still, she promised that the United States would have appropriate action if terrorists were found to be behind the blast, a sentiment echoed later in the day by President Clinton."	take -> have	FALSE	FALSE	"[[[9, 9], [22, 31]]]"	"[['take', 'a sentiment echoed later in the day by President Clinton']]"	[]	[]	[]	[]	0	0	set()	set()	TRUE	TRUE	TRUE
mz/sinorama/10/ectb_1029	152	30	"Mankind is always challenging his limits, and when, in the near future, biochips lift the veil of many diseases, the next challenge will have only just begun."	"Mankind is always challenging his limits, and when, in the near future, biochips lift the veil of few diseases, the next challenge will have only just begun."	many -> few	TRUE	TRUE	"[[[0, 0], [4, 4]]]"	"[['Mankind', 'his']]"	"[[[0, 0], [4, 4]]]"	"[['Mankind', 'his']]"	"[[[0, 0], [4, 4]]]"	"[['Mankind', 'his']]"	100	100	"{4, 6}"	"{4, 6}"	TRUE	TRUE	FALSE
bn/pri/00/pri_0079	69	70	"The book is filled with marvelous descriptions of the gorges through which he walks, the mountains that he climbs, indeed the book is called Soul Mountain, the mountain on which he hopes in some way or another to get in touch with his soul, his individual soul, as opposed to that mass kind of soul being enforced upon him by the Communist Chinese authorities, the social realism that the cadres would have him write in."	"The book is filled with marvelous descriptions of the gorges through which he walks, the mountains that he climbs, indeed the book is called Soul Mountain, the mountain on which he hopes in some way or another to get in touch with his soul, his individual soul, as opposed to that mass kind of somebody being enforced upon him by the Communist Chinese authorities, the social realism that the cadres would have him write in."	soul -> somebody	FALSE	TRUE	"[[[33, 33], [78, 78], [63, 63], [45, 45], [48, 48], [18, 18], [12, 12]], [[22, 23], [0, 1]]]"	"[['he', 'him', 'him', 'his', 'his', 'he', 'he'], ['the book', 'The book']]"	"[[[0, 1], [12, 12], [18, 18], [22, 23], [33, 33], [45, 45], [48, 48], [63, 63], [78, 78]], [[45, 46], [48, 50]]]"	"[['The book', 'he', 'he', 'the book', 'he', 'his', 'his', 'him', 'him'], ['his soul', 'his individual soul']]"	"[[[0, 1], [12, 12], [18, 18], [22, 23], [33, 33], [45, 45], [48, 48], [63, 63], [78, 78]], [[45, 46], [48, 50]]]"	"[['The book', 'he', 'he', 'the book', 'he', 'his', 'his', 'him', 'him'], ['his soul', 'his individual soul']]"	100	100	"{3, 10, 12, 14, 15, 17, 20}"	"{3, 10, 12, 14, 15, 17, 20}"	TRUE	TRUE	TRUE
nw/wsj/23/wsj_2372	10	13	The Senate also dropped a plan by its Finance Committee that would have increased the income threshold beyond which senior citizens have their Social Security benefits reduced.	The Senate also dropped a plan by its Finance Committee that would have increased the income brink beyond which senior citizens have their Social Security benefits reduced.	threshold -> brink	TRUE	TRUE	"[[[22, 22], [19, 20]], [[7, 7], [0, 1]]]"	"[['their', 'senior citizens'], ['its', 'The Senate']]"	"[[[0, 1], [7, 7]], [[19, 20], [22, 22]]]"	"[['The Senate', 'its'], ['senior citizens', 'their']]"	"[[[0, 1], [7, 7]], [[19, 20], [22, 22]]]"	"[['The Senate', 'its'], ['senior citizens', 'their']]"	100	100	"{16, 3, 6, 14}"	"{16, 3, 6, 14}"	TRUE	TRUE	FALSE
bn/pri/00/pri_0039	194	5	"Index Theater is planning a huge comeback now with a series of shows in Belgrade, but even though Milosevic is under de facto house arrest in Belgrade, he is very much present on the repertoire of political humors, says his impersonator, Dragewbo Yubitrich."	"Index Theater is planning a vast comeback now with a series of shows in Belgrade, but even though Milosevic is under de facto house arrest in Belgrade, he is very much present on the repertoire of political humors, says his impersonator, Dragewbo Yubitrich."	huge -> vast	TRUE	TRUE	"[[[29, 29], [19, 19], [42, 42]], [[27, 27], [14, 14]]]"	"[['he', 'Milosevic', 'his'], ['Belgrade', 'Belgrade']]"	"[[[14, 14], [27, 27]], [[19, 19], [29, 29], [42, 42]]]"	"[['Belgrade', 'Belgrade'], ['Milosevic', 'he', 'his']]"	"[[[14, 14], [27, 27]], [[19, 19], [29, 29], [42, 42]]]"	"[['Belgrade', 'Belgrade'], ['Milosevic', 'he', 'his']]"	100	100	"{4, 5, 7, 9, 11, 12}"	"{4, 5, 7, 9, 11, 12}"	TRUE	TRUE	FALSE
bn/abc/00/abc_0009	161	0	"I urge Mr. Barak to lift the siege of Palestinians, to speak to the Palestinians as its neighbors because they are his neighbors."	"I recommend Mr. Barak to lift the siege of Palestinians, to speak to the Palestinians as its neighbors because they are his neighbors."	urge -> recommend	FALSE	TRUE	"[[[14, 15], [20, 20], [9, 9]], [[22, 22], [2, 3]]]"	"[['the Palestinians', 'they', 'Palestinians'], ['his', 'Mr. Barak']]"	"[[[2, 3], [22, 22]], [[6, 9], [17, 17], [20, 20]]]"	"[['Mr. Barak', 'his'], ['the siege of Palestinians', 'its', 'they']]"	"[[[2, 3], [22, 22]], [[6, 9], [17, 17], [20, 20]]]"	"[['Mr. Barak', 'his'], ['the siege of Palestinians', 'its', 'they']]"	100	100	"{8, 13, 12, 5}"	"{8, 13, 12, 5}"	TRUE	TRUE	TRUE
nw/xinhua/02/chtb_0249	67	3	China still believes in the path that it itself has specified.	China yet believes in the path that it itself has specified.	still -> yet	FALSE	TRUE	"[[[0, 0], [8, 8], [7, 8]]]"	"[['China', 'itself', 'it itself']]"	"[[[0, 0], [7, 8]]]"	"[['China', 'it itself']]"	"[[[0, 0], [7, 8]]]"	"[['China', 'it itself']]"	100	100	"{3, 6}"	"{3, 6}"	TRUE	TRUE	TRUE
bn/pri/00/pri_0009	196	5	"Sidney Yates was first elected to the U.S. house in 1948, when Harry Truman was President and for more than 4 decades he trounced every challenger to face him in congressional election."	"Sidney Yates was first elected to the America house in 1948, when Harry Truman was President and for more than 4 decades he trounced every challenger to face him in congressional election."	U.S. -> America	FALSE	TRUE	"[[[23, 23], [0, 1], [29, 29]]]"	"[['he', 'Sidney Yates', 'him']]"	"[[[0, 1], [23, 23]], [[13, 14], [29, 29]]]"	"[['Sidney Yates', 'he'], ['Harry Truman', 'him']]"	"[[[0, 1], [23, 23]], [[13, 14], [29, 29]]]"	"[['Sidney Yates', 'he'], ['Harry Truman', 'him']]"	100	100	"{8, 4, 7}"	"{8, 4, 7}"	TRUE	TRUE	TRUE
nw/xinhua/00/chtb_0079	30	22	"Data provided by the State Taxation Administration show that, starting next year, foreign business investment BOT projects will continue to enjoy preferential taxation, and the scope of their preferential policies will include investment enterprises and individual investors engaged in BOT projects."	"Data provided by the State Taxation Administration show that, starting next year, foreign business investment BOT projects will continue to revel preferential taxation, and the scope of their preferential policies will include investment enterprises and individual investors engaged in BOT projects."	enjoy -> revel	FALSE	TRUE	"[[[3, 6], [30, 30]]]"	"[['the State Taxation Administration', 'their']]"	"[[[14, 18], [30, 30]], [[17, 17], [42, 42]]]"	"[['foreign business investment BOT projects', 'their'], ['BOT', 'BOT']]"	"[[[14, 18], [30, 30]], [[17, 17], [42, 42]]]"	"[['foreign business investment BOT projects', 'their'], ['BOT', 'BOT']]"	100	100	"{8, 7}"	"{8, 7}"	TRUE	TRUE	TRUE
nw/wsj/23/wsj_2355	151	1	"Mr. Thygerson said he had planned to travel between the job in Denver and his San Diego home, but has found the commute too difficult to continue."	"Mr. Thygerson said he had planned to move between the job in Denver and his San Diego home, but has found the commute too difficult to continue."	travel -> move	TRUE	TRUE	"[[[0, 1], [3, 3], [14, 14]]]"	"[['Mr. Thygerson', 'he', 'his']]"	"[[[0, 1], [3, 3], [14, 14]]]"	"[['Mr. Thygerson', 'he', 'his']]"	"[[[0, 1], [3, 3], [14, 14]]]"	"[['Mr. Thygerson', 'he', 'his']]"	100	100	"{3, 6, 10, 14, 15}"	"{3, 6, 10, 14, 15}"	TRUE	TRUE	FALSE
nw/wsj/23/wsj_2369	150	11	"To some extent, this tendency emerges whenever the show tries to enlighten us about ethnic stereotypes by reversing them."	"To some extent, this tendency emerges whenever the show tries to crystallise us about ethnic stereotypes by reversing them."	enlighten -> crystallise	FALSE	FALSE	"[[[15, 16], [19, 19]]]"	"[['ethnic stereotypes', 'them']]"	[]	[]	[]	[]	0	0	set()	set()	TRUE	TRUE	TRUE
nw/wsj/23/wsj_2377	122	56	"Thus, in a civil case, a defendant may be called as a witness, he may be forced to testify or take the Fifth, and his taking of the Fifth may permit the drawing of an adverse inference against him in the civil matter."	"Thus, in a civil case, a defendant may be called as a witness, he may be forced to testify or take the Fifth, and his taking of the Fifth may allow the drawing of an adverse inference against him in the civil matter."	permit -> allow	FALSE	TRUE	"[[[7, 8], [16, 16], [28, 28], [42, 42]], [[24, 25], [31, 32]], [[28, 32], [23, 23]]]"	"[['a defendant', 'he', 'his', 'him'], ['the Fifth', 'the Fifth'], ['his taking of the Fifth', 'take']]"	"[[[7, 8], [16, 16], [28, 28], [42, 42]], [[24, 25], [31, 32]]]"	"[['a defendant', 'he', 'his', 'him'], ['the Fifth', 'the Fifth']]"	"[[[7, 8], [16, 16], [28, 28], [42, 42]], [[24, 25], [31, 32]]]"	"[['a defendant', 'he', 'his', 'him'], ['the Fifth', 'the Fifth']]"	100	100	"{4, 5, 6, 7, 10}"	"{4, 5, 6, 7, 10}"	TRUE	TRUE	TRUE
mz/sinorama/10/ectb_1049	190	5	"Fortunately, thanks to efforts by cultural and environmental activists from Tanshui, the plan was first postponed, and then was ultimately killed after an environmental impact assessment released in September refused to approve the scheme."	"Fortunately, thanks to efforts by ethnic and environmental activists from Tanshui, the plan was first postponed, and then was ultimately killed after an environmental impact assessment released in September refused to approve the scheme."	cultural -> ethnic	TRUE	TRUE	"[[[35, 36], [13, 14]]]"	"[['the scheme', 'the plan']]"	"[[[13, 14], [35, 36]]]"	"[['the plan', 'the scheme']]"	"[[[13, 14], [35, 36]]]"	"[['the plan', 'the scheme']]"	100	100	{3}	{3}	TRUE	TRUE	FALSE
nw/wsj/23/wsj_2382	108	6	Vitarine won approval to market a version of a blood pressure medicine but acknowledged that it substituted a SmithKline Beecham PLC product as its own in tests.	Vitarine won approval to market a edition of a blood pressure medicine but acknowledged that it substituted a SmithKline Beecham PLC product as its own in tests.	version -> edition	TRUE	TRUE	"[[[0, 0], [23, 23], [15, 15]]]"	"[['Vitarine', 'its', 'it']]"	"[[[0, 0], [15, 15], [23, 23]]]"	"[['Vitarine', 'it', 'its']]"	"[[[0, 0], [15, 15], [23, 23]]]"	"[['Vitarine', 'it', 'its']]"	100	100	"{3, 7, 8, 9}"	"{3, 6, 7, 8, 9}"	FALSE	TRUE	FALSE
bn/abc/00/abc_0009	51	8	"The Palestinians clearly face the greatest pressure in this summit, since the Israelis are not the only ones blaming them for the outbreak of violence."	"The Palestinians clearly avoid the greatest pressure in this summit, since the Israelis are not the only ones blaming them for the outbreak of violence."	face -> avoid	FALSE	TRUE	"[[[0, 1], [20, 20]]]"	"[['The Palestinians', 'them']]"	"[[[12, 13], [20, 20]]]"	"[['the Israelis', 'them']]"	"[[[12, 13], [20, 20]]]"	"[['the Israelis', 'them']]"	100	100	"{9, 5}"	"{9, 5}"	TRUE	TRUE	TRUE
