	doc_id	OID	GID	oriSent	genSent	repToken	oriConsistent	pairConsistent	goldCoref	goldCorefText	oriCoref	oriCorefText	newCoref	newCorefText	oriPrecision	oriRecall	pairPrecision	pairRecall	oriDepth	newDepth	depthConsistent
224	bn/voa/02/voa_0259	46	1	After the angry outburst Mr. Arafat reaffirmed his commitment to peace and his willingness to meet Mr. Barak.	After this angry outburst Mr . Arafat reaffirmed his commitment to peace and his willingness to meet Mr . Barak .	the -> this	True	False	[[[4, 5], [12, 12], [7, 7]]]	[['Mr. Arafat', 'his', 'his']]	[[[4, 5], [7, 7], [12, 12]]]	[['Mr. Arafat', 'his', 'his']]	[[[4, 6], [8, 8], [13, 13]]]	[['Mr . Arafat', 'his', 'his']]	100.0	100.0	0.0	0.0	{3, 4, 6}	{3, 4, 6}	True
495	nw/wsj/23/wsj_2331	100	2	Executives at Backer Spielvogel client Avis Inc., as well as at Saatchi client Philips Lighting Co., also said they saw no effect.	Executives at Bayer Spielvogel client Avis Inc . , as well as at Saatchi client Philips Lighting Co . , also said they saw no effect .	Back -> Bay	False	False	[[[0, 17], [20, 20]]]	[['Executives at Backer Spielvogel client Avis Inc. , as well as at Saatchi client Philips Lighting Co. ,', 'they']]	[[[0, 16], [20, 20]]]	[['Executives at Backer Spielvogel client Avis Inc., as well as at Saatchi client Philips Lighting Co.', 'they']]	[[[0, 19], [22, 22]]]	[['Executives at Bayer Spielvogel client Avis Inc . , as well as at Saatchi client Philips Lighting Co . ,', 'they']]	0.0	0.0	0.0	0.0	{4, 6}	{4, 6}	True
208	nw/wsj/23/wsj_2394	42	2	Budget Rent a Car Corp., of Chicago, and National Car Rental Systems Inc., of Minneapolis, both said they had no plans to follow suit.	Budget Rent a Car Corp . , of Chicago , and National Car Rental Systems Inc . , of Detroit , both said they had no plans to follow suit .	Minneapolis -> Detroit	False	False	[[[21, 21], [0, 18]]]	[['they', 'Budget Rent a Car Corp. , of Chicago , and National Car Rental Systems Inc. , of Minneapolis ,']]	[[[19, 19], [21, 21]]]	[['both', 'they']]	[[[0, 19], [21, 21], [23, 23]]]	[['Budget Rent a Car Corp . , of Chicago , and National Car Rental Systems Inc . , of Detroit', 'both', 'they']]	0.0	0.0	0.0	0.0	{4, 6}	{3, 5, 6}	False
403	mz/sinorama/10/ectb_1029	82	0	In other words, whereas in the past researchers had to investigate each gene individually, today, using biochips, they can obtain test results for tens of thousands of genes at once.	In other words , whereas in the past researchers had to investigate each gene individually , today , using biochips , they can obtain test results for hundreds of thousands of genes at once .	tens -> hundreds	True	False	[[[21, 21], [8, 8]]]	[['they', 'researchers']]	[[[8, 8], [21, 21]]]	[['researchers', 'they']]	[]	[]	100.0	100.0	0.0	0.0	{3, 6}	set()	False
226	bn/voa/02/voa_0259	46	3	After the angry outburst Mr. Arafat reaffirmed his commitment to peace and his willingness to meet Mr. Barak.	After the angry outburst Dr . Arafat reaffirmed his commitment to peace and his willingness to meet Mr . Barak .	Mr -> Dr	True	False	[[[4, 5], [12, 12], [7, 7]]]	[['Mr. Arafat', 'his', 'his']]	[[[4, 5], [7, 7], [12, 12]]]	[['Mr. Arafat', 'his', 'his']]	[[[8, 8], [13, 13]]]	[['his', 'his']]	100.0	100.0	0.0	0.0	{3, 4, 6}	{4, 6}	False
849	mz/sinorama/10/ectb_1009	171	3	Each arrival seemed to bring many more on its heels.	Its arrival seemed to bring many more on its heels .	Each -> Its	True	False	[[[8, 8], [0, 1]]]	[['its', 'Each arrival']]	[[[0, 1], [8, 8]]]	[['Each arrival', 'its']]	[[[0, 0], [8, 8]]]	[['Its', 'its']]	100.0	100.0	0.0	0.0	{8, 3}	{8, 3}	True
557	nw/wsj/23/wsj_2321	112	4	When she met the local press for the first time on Friday, Mrs. Hills firmly reiterated the need for progress in removing barriers to trade in forest products, satellites and supercomputers, three areas targeted under the Super 301 provision of the 1988 trade bill.	When she met the local press for the first time on Friday , Mrs . Hills also reiterated the need for progress in removing barriers to trade in forest products , satellites and supercomputers , three areas targeted under the Super 301 provision of the 1988 trade bill .	firmly -> also	True	False	[[[13, 14], [1, 1]]]	[['Mrs. Hills', 'she']]	[[[1, 1], [13, 14]]]	[['she', 'Mrs. Hills']]	[]	[]	100.0	100.0	0.0	0.0	{3, 5}	set()	False
210	nw/wsj/23/wsj_2394	42	4	Budget Rent a Car Corp., of Chicago, and National Car Rental Systems Inc., of Minneapolis, both said they had no plans to follow suit.	National Rent a Car Corp . , of Chicago , and National Car Rental Systems Inc . , of Minneapolis , both said they had no plans to follow suit .	Budget -> National	False	False	[[[21, 21], [0, 18]]]	[['they', 'Budget Rent a Car Corp. , of Chicago , and National Car Rental Systems Inc. , of Minneapolis ,']]	[[[19, 19], [21, 21]]]	[['both', 'they']]	[[[21, 21], [23, 23]]]	[['both', 'they']]	0.0	0.0	0.0	0.0	{4, 6}	{3, 6}	False
919	bn/cnn/03/cnn_0339	185	3	They use the gunships to kill, we think, not less than 50,000 inhabitants of southern Iraq and trying to do that to the Kurds, as well, so it was a knife edge.	They use the gunships to kill , we think , not less than 500 , 000 inhabitants of southern Iraq and trying to do that to the Kurds , as well , so it was a knife edge .	50 -> 500	False	False	[[[5, 5], [22, 22]]]	[['kill', 'that']]	[[[1, 1], [22, 22]]]	[['use', 'that']]	[[[1, 1], [24, 24]]]	[['use', 'that']]	0.0	0.0	0.0	0.0	{3, 12}	{8, 4}	False
784	bn/cnn/02/cnn_0249	158	1	Apparently, he was on his way to greet reporters at the time outside the main government office there in Belgrade.	Apparently , he was on his way to greet reporters at the time outside his main government office there in Belgrade .	the -> his	True	False	[[[2, 2], [5, 5]]]	[['he', 'his']]	[[[2, 2], [5, 5]]]	[['he', 'his']]	[[[2, 2], [5, 5], [14, 14]]]	[['he', 'his', 'his']]	100.0	100.0	33.33	100.0	{3, 5, 10, 11, 12}	{3, 5, 10, 11, 12}	True
181	nw/wsj/23/wsj_2335	37	0	Mr. Field also had been chairman of McKesson Corp., resigning that post after a dispute with the board over corporate strategy.	Mr . Field also had been chairman of McKesson Corp . , resigning that post following a dispute with the board over corporate strategy .	after -> following	False	False	[[[11, 12], [5, 8]]]	[['that post', 'chairman of McKesson Corp.']]	[[[5, 5], [11, 12]]]	[['chairman', 'that post']]	[[[6, 6], [13, 14]]]	[['chairman', 'that post']]	0.0	0.0	0.0	0.0	{6, 7}	{6}	False
314	bn/voa/02/voa_0259	64	1	Mr. Arafat accused Israel of waging a savage and barbaric war against his people.	Mr . Arafat accused Israel of waging a vicious and barbaric war against his people .	savage -> vicious	True	False	[[[12, 12], [0, 1]]]	[['his', 'Mr. Arafat']]	[[[0, 1], [12, 12]]]	[['Mr. Arafat', 'his']]	[[[0, 2], [13, 13]]]	[['Mr . Arafat', 'his']]	100.0	100.0	0.0	0.0	{9, 3}	{9, 3}	True
301	nw/wsj/23/wsj_2328	61	3	Financial Corp. said it agreed to buy the bonds after a representative of Ivan F. Boesky Corp. visited it in November 1983 and said Financial Corp. could improve its financial condition by purchasing the bonds.	Financial Corp . said it agreed to buy the bonds because a representative of Ivan F . Boesky Corp . visited it in November 1983 and said Financial Corp . could improve its financial condition by purchasing the bonds .	after -> because	True	False	[[[0, 1], [24, 25], [28, 28], [3, 3], [18, 18]], [[33, 34], [7, 8]]]	[['Financial Corp.', 'Financial Corp.', 'its', 'it', 'it'], ['the bonds', 'the bonds']]	[[[0, 1], [3, 3], [18, 18], [24, 25], [28, 28]], [[7, 8], [33, 34]]]	[['Financial Corp.', 'it', 'it', 'Financial Corp.', 'its'], ['the bonds', 'the bonds']]	[[[0, 2], [4, 4], [21, 21], [27, 29], [32, 32]], [[8, 9], [37, 38]]]	[['Financial Corp .', 'it', 'it', 'Financial Corp .', 'its'], ['the bonds', 'the bonds']]	100.0	100.0	0.0	0.0	{3, 6, 10, 13, 14, 16, 18, 21}	{4, 5, 8, 9, 13, 16, 17}	False
877	nw/wsj/23/wsj_2353	177	1	Valley Federal said Friday that it is considering whether to seek another buyer for the branches or to pursue the transaction with Imperial Corp., which said it is attempting to meet Community Reinvestment Act requirements.	Valley Capital said Friday that it is considering whether to seek another buyer for the branches or to pursue the transaction with Imperial Corp . , which said it is attempting to meet Community Reinvestment Act requirements .	Federal -> Capital	False	False	[[[0, 1], [5, 5]], [[22, 35], [27, 27]]]	[['Valley Federal', 'it'], ['Imperial Corp. , which said it is attempting to meet Community Reinvestment Act requirements', 'it']]	[[[0, 1], [5, 5], [27, 27]]]	[['Valley Federal', 'it', 'it']]	[[[0, 1], [5, 5], [28, 28]]]	[['Valley Capital', 'it', 'it']]	16.66	25.0	33.33	33.33	{3, 6, 13, 20, 26}	{3, 6, 13, 20, 26}	True
975	bn/pri/00/pri_0009	196	4	Sidney Yates was first elected to the U.S. house in 1948, when Harry Truman was President and for more than 4 decades he trounced every challenger to face him in congressional election.	Sidney Yates was first elected to the U . S . house in 1948 , when Harry Truman became President and for more than 4 decades he trounced every challenger to face him in congressional election .	was -> became	False	False	[[[23, 23], [0, 1], [29, 29]]]	[['he', 'Sidney Yates', 'him']]	[[[0, 1], [23, 23]], [[13, 14], [29, 29]]]	[['Sidney Yates', 'he'], ['Harry Truman', 'him']]	[[[0, 1], [26, 26]], [[16, 17], [32, 32]]]	[['Sidney Yates', 'he'], ['Harry Truman', 'him']]	50.0	33.33	0.0	0.0	{8, 4, 7}	{8, 4, 7}	True
916	bn/cnn/03/cnn_0339	185	0	They use the gunships to kill, we think, not less than 50,000 inhabitants of southern Iraq and trying to do that to the Kurds, as well, so it was a knife edge.	They use the gunships to kill , we think , not less than 100 , 000 inhabitants of southern Iraq and trying to do that to the Kurds , as well , so it was a knife edge .	50 -> 100	False	False	[[[5, 5], [22, 22]]]	[['kill', 'that']]	[[[1, 1], [22, 22]]]	[['use', 'that']]	[[[1, 1], [24, 24]]]	[['use', 'that']]	0.0	0.0	0.0	0.0	{3, 12}	{8, 4}	False
936	bn/cnn/04/cnn_0429	189	0	We have also heard a different sign of Sir Paul McCartney playing to enthusiastic crowds in Red Square, and we, in turn, have been enthralled by the celebrations of your own city in Petersburg.	I have also heard a different sign of Sir Paul McCartney playing to enthusiastic crowds in Red Square , and we , in turn , have been enthralled by the celebrations of your own city in Petersburg .	We -> I	False	False	[[[36, 36], [32, 34]], [[0, 0], [20, 20]]]	[['Petersburg', 'your own city'], ['We', 'we']]	[[[0, 0], [20, 20]], [[32, 36], [36, 36]]]	[['We', 'we'], ['your own city in Petersburg', 'Petersburg']]	[[[32, 36], [36, 36]]]	[['your own city in Petersburg', 'Petersburg']]	50.0	50.0	50.0	25.0	{8, 10, 4}	{8, 10}	False
261	nw/wsj/23/wsj_2382	53	3	Mr. Nesbit also said the FDA has asked Bolar Pharmaceutical Co. to recall at the retail level its urinary tract antibiotic.	Mr . Nesbit also said the FDA has asked Collar Pharmaceutical Co . to recall at the retail level its urinary tract antibiotic .	Bo -> Col	True	False	[[[8, 10], [17, 17]]]	[['Bolar Pharmaceutical Co.', 'its']]	[[[8, 10], [17, 17]]]	[['Bolar Pharmaceutical Co.', 'its']]	[[[9, 12], [19, 19]]]	[['Collar Pharmaceutical Co .', 'its']]	100.0	100.0	0.0	0.0	{8, 11}	{9, 12}	False
972	bn/pri/00/pri_0009	196	1	Sidney Yates was first elected to the U.S. house in 1948, when Harry Truman was President and for more than 4 decades he trounced every challenger to face him in congressional election.	Sidney Yates was first elected to the U . S . house in 1952 , when Harry Truman was President and for more than 4 decades he trounced every challenger to face him in congressional election .	1948 -> 1952	False	False	[[[23, 23], [0, 1], [29, 29]]]	[['he', 'Sidney Yates', 'him']]	[[[0, 1], [23, 23]], [[13, 14], [29, 29]]]	[['Sidney Yates', 'he'], ['Harry Truman', 'him']]	[[[0, 1], [26, 26], [32, 32]]]	[['Sidney Yates', 'he', 'him']]	50.0	33.33	0.0	0.0	{8, 4, 7}	{8, 4, 7}	True
207	nw/wsj/23/wsj_2394	42	1	Budget Rent a Car Corp., of Chicago, and National Car Rental Systems Inc., of Minneapolis, both said they had no plans to follow suit.	American Rent a Car Corp . , of Chicago , and National Car Rental Systems Inc . , of Minneapolis , both said they had no plans to follow suit .	Budget -> American	False	False	[[[21, 21], [0, 18]]]	[['they', 'Budget Rent a Car Corp. , of Chicago , and National Car Rental Systems Inc. , of Minneapolis ,']]	[[[19, 19], [21, 21]]]	[['both', 'they']]	[[[21, 21], [23, 23]]]	[['both', 'they']]	0.0	0.0	0.0	0.0	{4, 6}	{3, 6}	False
259	nw/wsj/23/wsj_2382	53	1	Mr. Nesbit also said the FDA has asked Bolar Pharmaceutical Co. to recall at the retail level its urinary tract antibiotic.	Mr . Nesbit also said the FDA has asked Kolar Pharmaceutical Co . to recall at the retail level its urinary tract antibiotic .	Bo -> Ko	True	False	[[[8, 10], [17, 17]]]	[['Bolar Pharmaceutical Co.', 'its']]	[[[8, 10], [17, 17]]]	[['Bolar Pharmaceutical Co.', 'its']]	[[[9, 12], [19, 19]]]	[['Kolar Pharmaceutical Co .', 'its']]	100.0	100.0	0.0	0.0	{8, 11}	{9, 12}	False
750	nw/wsj/23/wsj_2355	151	2	Mr. Thygerson said he had planned to travel between the job in Denver and his San Diego home, but has found the commute too difficult to continue.	Mr . Thygerson said he had planned to travel between the job in Denver and his San Diego home , but has found the commute extremely difficult to continue .	too -> extremely	True	False	[[[0, 1], [3, 3], [14, 14]]]	[['Mr. Thygerson', 'he', 'his']]	[[[0, 1], [3, 3], [14, 14]]]	[['Mr. Thygerson', 'he', 'his']]	[[[0, 2], [4, 4], [15, 15]]]	[['Mr . Thygerson', 'he', 'his']]	100.0	100.0	0.0	0.0	{3, 6, 10, 14, 15}	{3, 6, 10, 14, 15}	True
864	mz/sinorama/10/ectb_1009	174	3	The company is once again preparing to expand its physical plant.	The company is once again preparing to expand the physical plant .	its -> the	True	False	[[[8, 8], [0, 1]]]	[['its', 'The company']]	[[[0, 1], [8, 8]]]	[['The company', 'its']]	[]	[]	100.0	100.0	0.0	0.0	{8, 3}	set()	False
134	mz/sinorama/10/ectb_1069	27	3	Middle age and the changes it brings are like a revolving door.	But age and the changes it brings are like a revolving door .	Middle -> But	True	False	[[[5, 5], [0, 1]]]	[['it', 'Middle age']]	[[[0, 1], [5, 5]]]	[['Middle age', 'it']]	[[[1, 1], [5, 5]]]	[['age', 'it']]	100.0	100.0	0.0	0.0	{4, 7}	{4, 7}	True
799	bn/abc/00/abc_0009	161	1	I urge Mr. Barak to lift the siege of Palestinians, to speak to the Palestinians as its neighbors because they are his neighbors.	I want Mr . Barak to lift the siege of Palestinians , to speak to the Palestinians as its neighbors because they are his neighbors .	urge -> want	False	False	[[[14, 15], [20, 20], [9, 9]], [[22, 22], [2, 3]]]	[['the Palestinians', 'they', 'Palestinians'], ['his', 'Mr. Barak']]	[[[2, 3], [22, 22]], [[6, 9], [17, 17], [20, 20]]]	[['Mr. Barak', 'his'], ['the siege of Palestinians', 'its', 'they']]	[[[7, 10], [18, 18], [21, 21]]]	[['the siege of Palestinians', 'its', 'they']]	29.16	29.16	0.0	0.0	{8, 13, 12, 5}	{8, 12, 13}	False
514	mz/sinorama/10/ectb_1029	104	1	However, Pan points out that because of the difficulties in substantially reducing the time needed for sample preparation, the usefulness of such a fever chip is still limited, so that it can not yet be widely promoted.	However , Pan points out that because of the difficulties in significantly reducing the time needed for sample preparation , the usefulness of such a fever chip is still limited , so that it cannot yet be widely promoted .	substantially -> significantly	False	False	[[[33, 33], [23, 26]]]	[['it', 'such a fever chip']]	[[[20, 26], [33, 33]]]	[['the usefulness of such a fever chip', 'it']]	[[[23, 26], [33, 33]]]	[['such a fever chip', 'it']]	0.0	0.0	0.0	0.0	{8, 9, 7}	{8, 9, 7}	True
443	bn/cnn/02/cnn_0289	90	0	American warns it will seek more layoffs if it does file for Chapter 11.	American says it will seek more layoffs if it does file for Chapter 11 .	warns -> says	False	False	[[[2, 2], [0, 0], [8, 8]]]	[['it', 'American', 'it']]	[[[2, 2], [8, 8]]]	[['it', 'it']]	[[[0, 0], [2, 2], [8, 8]]]	[['American', 'it', 'it']]	100.0	33.33	33.33	100.0	{10, 6}	{3, 6, 10}	False
496	nw/wsj/23/wsj_2331	100	3	Executives at Backer Spielvogel client Avis Inc., as well as at Saatchi client Philips Lighting Co., also said they saw no effect.	Executives at Hamburger Spielvogel client Avis Inc . , as well as at Saatchi client Philips Lighting Co . , also said they saw no effect .	Back -> Hamburg	False	False	[[[0, 17], [20, 20]]]	[['Executives at Backer Spielvogel client Avis Inc. , as well as at Saatchi client Philips Lighting Co. ,', 'they']]	[[[0, 16], [20, 20]]]	[['Executives at Backer Spielvogel client Avis Inc., as well as at Saatchi client Philips Lighting Co.', 'they']]	[[[0, 19], [22, 22]]]	[['Executives at Hamburger Spielvogel client Avis Inc . , as well as at Saatchi client Philips Lighting Co . ,', 'they']]	0.0	0.0	0.0	0.0	{4, 6}	{4, 6}	True
170	bn/pri/00/pri_0019	34	4	If their intention was to deter us from our mission of promoting peace and security in the Middle East, they will fail utterly.	If their intention was to deter us from our mission of promoting peace and security in the Middle East , it will fail utterly .	they -> it	True	False	[[[8, 8], [6, 6]], [[20, 20], [1, 1]]]	[['our', 'us'], ['they', 'their']]	[[[1, 1], [20, 20]], [[6, 6], [8, 8]]]	[['their', 'they'], ['us', 'our']]	[[[6, 6], [8, 8]], [[8, 18], [20, 20]]]	[['us', 'our'], ['our mission of promoting peace and security in the Middle East', 'it']]	100.0	100.0	50.0	50.0	{11, 9, 3, 5}	{3, 9, 11, 14}	False
