	doc_id	OID	GID	oriSent	genSent	repToken	oriConsistent	pairConsistent	goldCoref	goldCorefText	oriCoref	oriCorefText	newCoref	newCorefText	oriPrecision	oriRecall	pairPrecision	pairRecall	oriDepth	newDepth	depthConsistent
3372	bn/voa/01/voa_0179	73	108	The extension of the federal order will require power suppliers in the West to keep sending their surplus electricity to California.	The extension of the federal order will require distribution suppliers in the West to keep sending their surplus electricity to California.	power -> distribution	True	False	[[[8, 12], [16, 16]]]	[['power suppliers in the West', 'their']]	[[[8, 12], [16, 16]]]	[['power suppliers in the West', 'their']]	[]	[]	100.0	100.0	0.0	0.0	{10, 5}	set()	False
4695	mz/sinorama/10/ectb_1009	98	73	Taiwanese business people here run their factories like they drive their cars, in high gear.	Taiwanese business people here run their interests like they drive their cars, in high gear.	factories -> interests	False	False	[[[5, 5], [10, 10], [0, 3], [8, 8]]]	[['their', 'their', 'Taiwanese business people here', 'they']]	[[[5, 5], [8, 8], [10, 10]]]	[['their', 'they', 'their']]	[[[0, 3], [5, 5], [8, 8], [10, 10]]]	[['Taiwanese business people here', 'their', 'they', 'their']]	100.0	50.0	50.0	100.0	{4, 6, 7}	{3, 4, 6, 7}	False
6643	nw/wsj/23/wsj_2377	130	20	The privilege, however, has been limited in accordance with its plain language to protect the defendant in criminal matters only.	The privilege, especially, has been limited in accordance with its plain language to protect the defendant in criminal matters only.	however -> especially	True	False	[[[0, 1], [11, 11]]]	[['The privilege', 'its']]	[[[0, 1], [11, 11]]]	[['The privilege', 'its']]	[]	[]	100.0	100.0	0.0	0.0	{3, 7}	set()	False
6769	nw/wsj/23/wsj_2377	130	146	The privilege, however, has been limited in accordance with its plain language to protect the defendant in criminal matters only.	The privilege, however, has been limited in accordance with its plain language to protect the congregation in criminal matters only.	defendant -> congregation	True	False	[[[0, 1], [11, 11]]]	[['The privilege', 'its']]	[[[0, 1], [11, 11]]]	[['The privilege', 'its']]	[]	[]	100.0	100.0	0.0	0.0	{3, 7}	set()	False
5575	bn/cnn/03/cnn_0379	110	9	She is asking anyone who finds the pair to give them back.	She is asking anyone who runs the pair to give them back.	finds -> runs	True	False	[[[6, 7], [10, 10]]]	[['the pair', 'them']]	[[[6, 7], [10, 10]]]	[['the pair', 'them']]	[[[3, 7], [10, 10]]]	[['anyone who runs the pair', 'them']]	100.0	100.0	0.0	0.0	{9, 13}	{13, 6}	False
8735	bn/pri/00/pri_0079	182	2	I think he has published about 18 plays now and he writes his plays in French.	I think he has made about 18 plays now and he writes his plays in French.	published -> made	False	False	[[[2, 2], [10, 10], [12, 12]]]	[['he', 'he', 'his']]	[[[0, 0], [2, 2], [10, 10]]]	[['I', 'he', 'he']]	[[[0, 0], [2, 2], [10, 10], [12, 12]]]	[['I', 'he', 'he', 'his']]	33.33	33.33	50.0	100.0	{4, 7, 8}	{4, 5, 7}	False
8797	bn/pri/00/pri_0079	182	64	I think he has published about 18 plays now and he writes his plays in French.	I think he has published about 18 plays now and he sends his plays in French.	writes -> sends	False	False	[[[2, 2], [10, 10], [12, 12]]]	[['he', 'he', 'his']]	[[[0, 0], [2, 2], [10, 10]]]	[['I', 'he', 'he']]	[[[2, 2], [10, 10]], [[5, 7], [12, 13]]]	[['he', 'he'], ['about 18 plays', 'his plays']]	33.33	33.33	50.0	33.33	{4, 7, 8}	{4, 5, 7, 8, 10}	False
3371	bn/voa/01/voa_0179	73	107	The extension of the federal order will require power suppliers in the West to keep sending their surplus electricity to California.	The extension of the federal order will require service suppliers in the West to keep sending their surplus electricity to California.	power -> service	True	False	[[[8, 12], [16, 16]]]	[['power suppliers in the West', 'their']]	[[[8, 12], [16, 16]]]	[['power suppliers in the West', 'their']]	[]	[]	100.0	100.0	0.0	0.0	{10, 5}	set()	False
6197	bn/pri/00/pri_0079	124	71	His politics are embedded in his writing and his writing is first and foremost a celebration of freedom.	His politics are embedded in his writing and his festival is first and foremost a celebration of freedom.	writing -> festival	True	False	[[[5, 6], [8, 9]], [[8, 8], [5, 5], [0, 0]]]	[['his writing', 'his writing'], ['his', 'his', 'His']]	[[[0, 0], [5, 5], [8, 8]], [[5, 6], [8, 9]]]	[['His', 'his', 'his'], ['his writing', 'his writing']]	[[[0, 0], [5, 5], [8, 8]]]	[['His', 'his', 'his']]	100.0	100.0	50.0	37.5	{4, 7}	{4, 7}	True
2358	bn/abc/00/abc_0009	51	57	The Palestinians clearly face the greatest pressure in this summit, since the Israelis are not the only ones blaming them for the outbreak of violence.	The Palestinians clearly face the greatest pressure in this time, since the Israelis are not the only ones blaming them for the outbreak of violence.	summit -> time	False	False	[[[0, 1], [20, 20]]]	[['The Palestinians', 'them']]	[[[12, 13], [20, 20]]]	[['the Israelis', 'them']]	[[[0, 1], [20, 20]]]	[['The Palestinians', 'them']]	0.0	0.0	0.0	0.0	{9, 5}	{9, 3}	False
2101	bn/pri/00/pri_0049	38	49	It is because they know they have the inspiration in their country.	It is because they know they have the inspiration in their dad.	country -> dad	True	False	[[[10, 10], [3, 3], [5, 5]]]	[['their', 'they', 'they']]	[[[3, 3], [5, 5], [10, 10]]]	[['they', 'they', 'their']]	[[[3, 3], [5, 5]]]	[['they', 'they']]	100.0	100.0	100.0	33.33	{9, 12, 6}	{9, 6}	False
6740	nw/wsj/23/wsj_2377	130	117	The privilege, however, has been limited in accordance with its plain language to protect the defendant in criminal matters only.	The privilege, however, has been limited in accordance with its plain language to describe the defendant in criminal matters only.	protect -> describe	True	False	[[[0, 1], [11, 11]]]	[['The privilege', 'its']]	[[[0, 1], [11, 11]]]	[['The privilege', 'its']]	[]	[]	100.0	100.0	0.0	0.0	{3, 7}	set()	False
4596	bn/voa/02/voa_0249	96	160	Reports from China say North Korean President Kim Jong Il is planning to announce economic reforms for his country.	Reports from China say North Korean President Kim Jong Il is planning to announce economic reforms for his sister.	country -> sister	False	False	[[[4, 9], [17, 17]]]	[['North Korean President Kim Jong Il', 'his']]	[[[2, 2], [17, 18]], [[4, 9], [17, 17]]]	[['China', 'his country'], ['North Korean President Kim Jong Il', 'his']]	[[[4, 9], [17, 17]]]	[['North Korean President Kim Jong Il', 'his']]	50.0	100.0	50.0	25.0	{8, 12, 5}	{8, 12}	False
8811	bn/pri/00/pri_0079	182	78	I think he has published about 18 plays now and he writes his plays in French.	I think he has published about 18 plays now and he writes his novels in French.	plays -> novels	False	False	[[[2, 2], [10, 10], [12, 12]]]	[['he', 'he', 'his']]	[[[0, 0], [2, 2], [10, 10]]]	[['I', 'he', 'he']]	[[[0, 0], [2, 2], [10, 10], [12, 12]]]	[['I', 'he', 'he', 'his']]	33.33	33.33	50.0	100.0	{4, 7, 8}	{4, 5, 7, 8}	False
5020	bn/pri/00/pri_0029	101	114	He has invested an awful amount in the peace with Israel, and really he can not afford to let it fail.	He has invested an awful amount in the plans with Israel, and really he cannot afford to let it fail.	peace -> plans	True	False	[[[20, 20], [7, 10]], [[0, 0], [14, 14]]]	[['it', 'the peace with Israel'], ['He', 'he']]	[[[0, 0], [14, 14]], [[7, 10], [20, 20]]]	[['He', 'he'], ['the peace with Israel', 'it']]	[[[0, 0], [14, 14]]]	[['He', 'he']]	100.0	100.0	50.0	25.0	{8, 10, 4, 6}	{8, 4}	False
4766	mz/sinorama/10/ectb_1009	98	144	Taiwanese business people here run their factories like they drive their cars, in high gear.	Taiwanese business people here run their factories like they drive their cars, in full gear.	high -> full	False	False	[[[5, 5], [10, 10], [0, 3], [8, 8]]]	[['their', 'their', 'Taiwanese business people here', 'they']]	[[[5, 5], [8, 8], [10, 10]]]	[['their', 'they', 'their']]	[[[0, 3], [5, 5], [8, 8], [10, 10]]]	[['Taiwanese business people here', 'their', 'they', 'their']]	100.0	50.0	50.0	100.0	{4, 6, 7}	{3, 4, 6, 7}	False
4992	bn/pri/00/pri_0029	101	86	He has invested an awful amount in the peace with Israel, and really he can not afford to let it fail.	He has invested an awful amount in the business with Israel, and really he cannot afford to let it fail.	peace -> business	True	False	[[[20, 20], [7, 10]], [[0, 0], [14, 14]]]	[['it', 'the peace with Israel'], ['He', 'he']]	[[[0, 0], [14, 14]], [[7, 10], [20, 20]]]	[['He', 'he'], ['the peace with Israel', 'it']]	[[[0, 0], [14, 14]], [[7, 8], [20, 20]]]	[['He', 'he'], ['the business', 'it']]	100.0	100.0	50.0	50.0	{8, 10, 4, 6}	{8, 10, 4, 6}	True
6623	nw/wsj/23/wsj_2377	130	0	The privilege, however, has been limited in accordance with its plain language to protect the defendant in criminal matters only.	The defendant, however, has been limited in accordance with its plain language to protect the defendant in criminal matters only.	privilege -> defendant	True	False	[[[0, 1], [11, 11]]]	[['The privilege', 'its']]	[[[0, 1], [11, 11]]]	[['The privilege', 'its']]	[[[0, 1], [11, 11], [16, 17]]]	[['The defendant', 'its', 'the defendant']]	100.0	100.0	33.33	100.0	{3, 7}	{10, 3, 7}	False
6117	nw/wsj/23/wsj_2377	120	13	Individuals can always have their hands slapped.	Individuals can always have their jaw slapped.	hands -> jaw	True	False	[[[0, 0], [4, 4]]]	[['Individuals', 'their']]	[[[0, 0], [4, 4]]]	[['Individuals', 'their']]	[]	[]	100.0	100.0	0.0	0.0	{3, 6}	set()	False
9029	bn/cnn/02/cnn_0299	193	12	A man who had assault, he actually had assault with a deadly weapon, this is pictures.	A man who had defense, he actually had assault with a deadly weapon, this is pictures.	assault -> defense	True	False	[[[6, 6], [0, 4]]]	[['he', 'A man who had assault']]	[[[0, 4], [6, 6]]]	[['A man who had assault', 'he']]	[]	[]	100.0	100.0	0.0	0.0	{4, 5}	set()	False
8876	bn/nbc/00/nbc_0029	186	36	Tonight for both George Bush and Al Gore and their war rooms all their advisers, this really comes down to a numbers game.	Tonight for both George Bush and Al Gore and their war rooms all their troubles, this really comes down to a numbers game.	advisers -> troubles	False	False	[[[13, 13], [3, 7], [9, 9]]]	[['their', 'George Bush and Al Gore', 'their']]	[[[2, 7], [9, 9]]]	[['both George Bush and Al Gore', 'their']]	[[[2, 7], [9, 9], [13, 13]]]	[['both George Bush and Al Gore', 'their', 'their']]	0.0	0.0	33.33	100.0	{5, 6}	{5, 6}	True
9021	bn/cnn/02/cnn_0299	193	4	A man who had assault, he actually had assault with a deadly weapon, this is pictures.	A man who had honor, he actually had assault with a deadly weapon, this is pictures.	assault -> honor	True	False	[[[6, 6], [0, 4]]]	[['he', 'A man who had assault']]	[[[0, 4], [6, 6]]]	[['A man who had assault', 'he']]	[]	[]	100.0	100.0	0.0	0.0	{4, 5}	set()	False
6730	nw/wsj/23/wsj_2377	130	107	The privilege, however, has been limited in accordance with its plain language to protect the defendant in criminal matters only.	The privilege, however, has been limited in accordance with its plain language to represent the defendant in criminal matters only.	protect -> represent	True	False	[[[0, 1], [11, 11]]]	[['The privilege', 'its']]	[[[0, 1], [11, 11]]]	[['The privilege', 'its']]	[]	[]	100.0	100.0	0.0	0.0	{3, 7}	set()	False
2897	bn/voa/00/voa_0049	57	112	Among other things, the US has worked with Bangladesh to establish the Tropical Forest Conservation Fund, the first of its kind in the world.	Among other things, the US has worked with Bangladesh to establish the Tropical Forest Conservation Fund, the first of its group in the world.	kind -> group	True	False	[[[12, 25], [21, 21]]]	[['the Tropical Forest Conservation Fund , the first of its kind in the world', 'its']]	[[[12, 25], [21, 21]]]	[['the Tropical Forest Conservation Fund, the first of its kind in the world', 'its']]	[[[4, 5], [21, 21]]]	[['the US', 'its']]	100.0	100.0	0.0	0.0	{11, 4}	{11, 4}	True
8758	bn/pri/00/pri_0079	182	25	I think he has published about 18 plays now and he writes his plays in French.	I think he has published about 18 kids now and he writes his plays in French.	plays -> kids	False	False	[[[2, 2], [10, 10], [12, 12]]]	[['he', 'he', 'his']]	[[[0, 0], [2, 2], [10, 10]]]	[['I', 'he', 'he']]	[[[2, 2], [10, 10], [12, 12]]]	[['he', 'he', 'his']]	33.33	33.33	33.33	33.33	{4, 7, 8}	{4, 5, 7, 8}	False
8778	bn/pri/00/pri_0079	182	45	I think he has published about 18 plays now and he writes his plays in French.	I think he has published about 18 plays now and he says his plays in French.	writes -> says	False	False	[[[2, 2], [10, 10], [12, 12]]]	[['he', 'he', 'his']]	[[[0, 0], [2, 2], [10, 10]]]	[['I', 'he', 'he']]	[[[2, 2], [10, 10], [12, 12]]]	[['he', 'he', 'his']]	33.33	33.33	33.33	33.33	{4, 7, 8}	{4, 5, 7, 8}	False
8760	bn/pri/00/pri_0079	182	27	I think he has published about 18 plays now and he writes his plays in French.	I think he has published about 18 newspapers now and he writes his plays in French.	plays -> newspapers	False	False	[[[2, 2], [10, 10], [12, 12]]]	[['he', 'he', 'his']]	[[[0, 0], [2, 2], [10, 10]]]	[['I', 'he', 'he']]	[[[0, 0], [2, 2], [10, 10], [12, 12]]]	[['I', 'he', 'he', 'his']]	33.33	33.33	50.0	100.0	{4, 7, 8}	{4, 5, 7, 8}	False
4590	bn/voa/02/voa_0249	96	154	Reports from China say North Korean President Kim Jong Il is planning to announce economic reforms for his country.	Reports from China say North Korean President Kim Jong Il is planning to announce economic reforms for his sons.	country -> sons	False	False	[[[4, 9], [17, 17]]]	[['North Korean President Kim Jong Il', 'his']]	[[[2, 2], [17, 18]], [[4, 9], [17, 17]]]	[['China', 'his country'], ['North Korean President Kim Jong Il', 'his']]	[[[4, 9], [17, 17]]]	[['North Korean President Kim Jong Il', 'his']]	50.0	100.0	50.0	25.0	{8, 12, 5}	{8, 12}	False
8806	bn/pri/00/pri_0079	182	73	I think he has published about 18 plays now and he writes his plays in French.	I think he has published about 18 plays now and he gives his plays in French.	writes -> gives	False	False	[[[2, 2], [10, 10], [12, 12]]]	[['he', 'he', 'his']]	[[[0, 0], [2, 2], [10, 10]]]	[['I', 'he', 'he']]	[[[2, 2], [10, 10], [12, 12]]]	[['he', 'he', 'his']]	33.33	33.33	33.33	33.33	{4, 7, 8}	{4, 5, 7, 8}	False
935	bn/voa/01/voa_0179	24	72	One large utility company, Southern California Edison says it may have to file for bankruptcy unless government officials can offer some relief.	One large utility increases, Southern California Edison says it may have to file for bankruptcy unless government officials can offer some relief.	company -> increases	True	False	[[[0, 7], [9, 9]]]	[['One large utility company , Southern California Edison', 'it']]	[[[0, 7], [9, 9]]]	[['One large utility company, Southern California Edison', 'it']]	[[[5, 7], [9, 9]]]	[['Southern California Edison', 'it']]	100.0	100.0	0.0	0.0	{4, 6}	{4, 6}	True
8827	bn/pri/00/pri_0079	182	94	I think he has published about 18 plays now and he writes his plays in French.	I think he has published about 18 plays now and he writes his sentences in French.	plays -> sentences	False	False	[[[2, 2], [10, 10], [12, 12]]]	[['he', 'he', 'his']]	[[[0, 0], [2, 2], [10, 10]]]	[['I', 'he', 'he']]	[[[2, 2], [10, 10], [12, 12]]]	[['he', 'he', 'his']]	33.33	33.33	33.33	33.33	{4, 7, 8}	{4, 5, 7, 8}	False
4621	bn/voa/02/voa_0249	96	185	Reports from China say North Korean President Kim Jong Il is planning to announce economic reforms for his country.	Reports from China say North Korean President Kim Jong Il is planning to announce economic reforms for his city.	country -> city	False	False	[[[4, 9], [17, 17]]]	[['North Korean President Kim Jong Il', 'his']]	[[[2, 2], [17, 18]], [[4, 9], [17, 17]]]	[['China', 'his country'], ['North Korean President Kim Jong Il', 'his']]	[[[4, 9], [17, 17]]]	[['North Korean President Kim Jong Il', 'his']]	50.0	100.0	50.0	25.0	{8, 12, 5}	{8, 12}	False
2336	bn/abc/00/abc_0009	51	35	The Palestinians clearly face the greatest pressure in this summit, since the Israelis are not the only ones blaming them for the outbreak of violence.	The Palestinians clearly face the greatest pressure in this way, since the Israelis are not the only ones blaming them for the outbreak of violence.	summit -> way	False	False	[[[0, 1], [20, 20]]]	[['The Palestinians', 'them']]	[[[12, 13], [20, 20]]]	[['the Israelis', 'them']]	[[[0, 1], [20, 20]]]	[['The Palestinians', 'them']]	0.0	0.0	0.0	0.0	{9, 5}	{9, 3}	False
8164	mz/sinorama/10/ectb_1009	171	28	Each arrival seemed to bring many more on its heels.	Each arrival managed to bring many more on its heels.	seemed -> managed	True	False	[[[8, 8], [0, 1]]]	[['its', 'Each arrival']]	[[[0, 1], [8, 8]]]	[['Each arrival', 'its']]	[]	[]	100.0	100.0	0.0	0.0	{8, 3}	set()	False
2343	bn/abc/00/abc_0009	51	42	The Palestinians clearly face the greatest pressure in this summit, since the Israelis are not the only ones blaming them for the outbreak of violence.	The Palestinians clearly face the greatest pressure in this place, since the Israelis are not the only ones blaming them for the outbreak of violence.	summit -> place	False	False	[[[0, 1], [20, 20]]]	[['The Palestinians', 'them']]	[[[12, 13], [20, 20]]]	[['the Israelis', 'them']]	[[[0, 1], [20, 20]]]	[['The Palestinians', 'them']]	0.0	0.0	0.0	0.0	{9, 5}	{9, 3}	False
6122	nw/wsj/23/wsj_2377	120	18	Individuals can always have their hands slapped.	Individuals can always have their hat slapped.	hands -> hat	True	False	[[[0, 0], [4, 4]]]	[['Individuals', 'their']]	[[[0, 0], [4, 4]]]	[['Individuals', 'their']]	[]	[]	100.0	100.0	0.0	0.0	{3, 6}	set()	False
8793	bn/pri/00/pri_0079	182	60	I think he has published about 18 plays now and he writes his plays in French.	I think he has published about 18 plays now and he said his plays in French.	writes -> said	False	False	[[[2, 2], [10, 10], [12, 12]]]	[['he', 'he', 'his']]	[[[0, 0], [2, 2], [10, 10]]]	[['I', 'he', 'he']]	[[[2, 2], [10, 10], [12, 12]]]	[['he', 'he', 'his']]	33.33	33.33	33.33	33.33	{4, 7, 8}	{4, 5, 7, 8}	False
6692	nw/wsj/23/wsj_2377	130	69	The privilege, however, has been limited in accordance with its plain language to protect the defendant in criminal matters only.	The privilege, however, has been limited in accordance with its plain application to protect the defendant in criminal matters only.	language -> application	True	False	[[[0, 1], [11, 11]]]	[['The privilege', 'its']]	[[[0, 1], [11, 11]]]	[['The privilege', 'its']]	[]	[]	100.0	100.0	0.0	0.0	{3, 7}	set()	False
2354	bn/abc/00/abc_0009	51	53	The Palestinians clearly face the greatest pressure in this summit, since the Israelis are not the only ones blaming them for the outbreak of violence.	The Palestinians clearly face the greatest pressure in this moment, since the Israelis are not the only ones blaming them for the outbreak of violence.	summit -> moment	False	False	[[[0, 1], [20, 20]]]	[['The Palestinians', 'them']]	[[[12, 13], [20, 20]]]	[['the Israelis', 'them']]	[[[0, 1], [20, 20]]]	[['The Palestinians', 'them']]	0.0	0.0	0.0	0.0	{9, 5}	{9, 3}	False
6204	bn/pri/00/pri_0079	124	78	His politics are embedded in his writing and his writing is first and foremost a celebration of freedom.	His politics are embedded in his writing and his creation is first and foremost a celebration of freedom.	writing -> creation	True	False	[[[5, 6], [8, 9]], [[8, 8], [5, 5], [0, 0]]]	[['his writing', 'his writing'], ['his', 'his', 'His']]	[[[0, 0], [5, 5], [8, 8]], [[5, 6], [8, 9]]]	[['His', 'his', 'his'], ['his writing', 'his writing']]	[[[0, 0], [5, 5], [8, 8]]]	[['His', 'his', 'his']]	100.0	100.0	50.0	37.5	{4, 7}	{4, 7}	True
5146	mz/sinorama/10/ectb_1069	103	57	Their candles are burning at both ends, because they are trying to live up to two old role models rather than establishing a new one for themselves.	Their candles are burning at both men, because they are trying to live up to two old role models rather than establishing a new one for themselves.	ends -> men	True	False	[[[27, 27], [9, 9], [0, 0]]]	[['themselves', 'they', 'Their']]	[[[0, 0], [9, 9], [27, 27]]]	[['Their', 'they', 'themselves']]	[[[5, 6], [9, 9], [27, 27]]]	[['both men', 'they', 'themselves']]	100.0	100.0	33.33	33.33	{3, 12, 7}	{12, 6, 7}	False
2373	bn/abc/00/abc_0009	51	72	The Palestinians clearly face the greatest pressure in this summit, since the Israelis are not the only ones blaming them for the outbreak of violence.	The Palestinians clearly face the greatest pressure in this order, since the Israelis are not the only ones blaming them for the outbreak of violence.	summit -> order	False	False	[[[0, 1], [20, 20]]]	[['The Palestinians', 'them']]	[[[12, 13], [20, 20]]]	[['the Israelis', 'them']]	[[[0, 1], [20, 20]]]	[['The Palestinians', 'them']]	0.0	0.0	0.0	0.0	{9, 5}	{9, 3}	False
5591	bn/cnn/03/cnn_0379	110	25	She is asking anyone who finds the pair to give them back.	She is asking anyone who finds the boat to give them back.	pair -> boat	True	False	[[[6, 7], [10, 10]]]	[['the pair', 'them']]	[[[6, 7], [10, 10]]]	[['the pair', 'them']]	[[[3, 7], [10, 10]]]	[['anyone who finds the boat', 'them']]	100.0	100.0	0.0	0.0	{9, 13}	{13, 6}	False
