	doc_id	OID	GID	oriSent	genSent	repToken	oriConsistent	pairConsistent	goldCoref	goldCorefText	oriCoref	oriCorefText	newCoref	newCorefText	oriPrecision	oriRecall	pairPrecision	pairRecall	oriDepth	newDepth	depthConsistent
2792	nw/xinhua/00/chtb_0059	173	4	Currently, Shanghai has established trade contacts with 205 countries and regions, and Southeast Asia, Oceania, Latin America, the Middle East and South Africa have become new markets opened up by Shanghai.	Currently, indonesia has established trade contacts with 205 countries and regions, and Southeast Asia, Oceania, Latin America, the Middle East and South Africa have become new markets opened up by Shanghai.	Shanghai -> indonesia	True	False	[[[2, 2], [35, 35]]]	[['Shanghai', 'Shanghai']]	[[[2, 2], [35, 35]]]	[['Shanghai', 'Shanghai']]	[]	[]	100.0	100.0	0.0	0.0	{10, 4}	set()	False
3060	bn/nbc/00/nbc_0029	186	19	Tonight for both George Bush and Al Gore and their war rooms all their advisers, this really comes down to a numbers game.	Tonight for both George Bush and Al gore and their war rooms all their advisers, this really comes down to a numbers game.	Gore -> gore	False	False	[[[13, 13], [3, 7], [9, 9]]]	[['their', 'George Bush and Al Gore', 'their']]	[[[2, 7], [9, 9]]]	[['both George Bush and Al Gore', 'their']]	[[[2, 7], [9, 9], [13, 13]]]	[['both George Bush and Al gore', 'their', 'their']]	0.0	0.0	33.33	100.0	{5, 6}	{6}	False
2579	bn/voa/00/voa_0099	153	56	President Clinton arrived in Brunei Tuesday, getting a red carpet welcome from officials of the tiny Islamic sultanate.	President Clinton arrived in Brunei Tuesday, getting a red carpet welcome from officials of the tiny Islamic school.	sultanate -> school	True	False	[[[15, 18], [4, 4]]]	[['the tiny Islamic sultanate', 'Brunei']]	[[[4, 4], [15, 18]]]	[['Brunei', 'the tiny Islamic sultanate']]	[]	[]	100.0	100.0	0.0	0.0	{9, 5}	set()	False
1205	mz/sinorama/10/ectb_1019	77	14	Once I was driving her somewhere to report a story when we had an accident, and she suffered some badly broken bones.	Once I was driving her somewhere to report a girl when we had an accident, and she suffered some badly broken bones.	story -> girl	True	False	[[[4, 4], [17, 17]]]	[['her', 'she']]	[[[4, 4], [17, 17]]]	[['her', 'she']]	[[[8, 9], [17, 17]]]	[['a girl', 'she']]	100.0	100.0	0.0	0.0	{8, 4}	{4, 6}	False
761	bn/abc/00/abc_0009	51	35	The Palestinians clearly face the greatest pressure in this summit, since the Israelis are not the only ones blaming them for the outbreak of violence.	The Palestinians clearly face the greatest pressure in this summit, since the media are not the only ones blaming them for the outbreak of violence.	Israelis -> media	False	False	[[[0, 1], [20, 20]]]	[['The Palestinians', 'them']]	[[[12, 13], [20, 20]]]	[['the Israelis', 'them']]	[[[0, 1], [20, 20]]]	[['The Palestinians', 'them']]	0.0	0.0	0.0	0.0	{9, 5}	{9, 3}	False
2138	bn/pri/00/pri_0079	124	3	His politics are embedded in his writing and his writing is first and foremost a celebration of freedom.	His politics are embedded in his dreams and his writing is first and foremost a celebration of freedom.	writing -> dreams	True	False	[[[5, 6], [8, 9]], [[8, 8], [5, 5], [0, 0]]]	[['his writing', 'his writing'], ['his', 'his', 'His']]	[[[0, 0], [5, 5], [8, 8]], [[5, 6], [8, 9]]]	[['His', 'his', 'his'], ['his writing', 'his writing']]	[[[0, 0], [5, 5], [8, 8]]]	[['His', 'his', 'his']]	100.0	100.0	50.0	37.5	{4, 7}	{4, 7}	True
1623	bn/voa/02/voa_0249	96	68	Reports from China say North Korean President Kim Jong Il is planning to announce economic reforms for his country.	Reports from China say North Korean President Kim Jong Il is planning to announce economic reforms for his people.	country -> people	False	False	[[[4, 9], [17, 17]]]	[['North Korean President Kim Jong Il', 'his']]	[[[2, 2], [17, 18]], [[4, 9], [17, 17]]]	[['China', 'his country'], ['North Korean President Kim Jong Il', 'his']]	[[[4, 9], [17, 17]]]	[['North Korean President Kim Jong Il', 'his']]	50.0	100.0	50.0	25.0	{8, 12, 5}	{8, 12}	False
992	nw/wsj/23/wsj_2384	55	74	The Treasury was locked in a battle over international economic policy, although at that time it was with West German officials rather than the Federal Reserve.	The Treasury was locked in a battle over international economic policy, although at that time it was with West German officials rather than the Federal treasury.	Reserve -> treasury	False	False	[[[16, 16], [5, 10]]]	[['it', 'a battle over international economic policy']]	[[[0, 1], [16, 16]]]	[['The Treasury', 'it']]	[[[0, 1], [16, 16], [24, 26]]]	[['The Treasury', 'it', 'the Federal treasury']]	0.0	0.0	33.33	100.0	{8, 3, 7}	{8, 10, 3, 7}	False
2429	bn/pri/00/pri_0029	137	28	Egypt called the emergency summit to declare support for the Palestinians in the wake of three weeks of violence that has left at least 106 people dead, almost all of them Palestinian.	Egypt called the emergency summit to declare support for the eu in the wake of three weeks of violence that has left at least 106 people dead, almost all of them Palestinian.	Palestinians -> eu	True	False	[[[31, 31], [22, 25]]]	[['them', 'at least 106 people']]	[[[22, 25], [31, 31]]]	[['at least 106 people', 'them']]	[]	[]	100.0	100.0	0.0	0.0	{20, 14}	set()	False
2431	bn/pri/00/pri_0029	137	30	Egypt called the emergency summit to declare support for the Palestinians in the wake of three weeks of violence that has left at least 106 people dead, almost all of them Palestinian.	Egypt called the emergency summit to declare support for the government in the wake of three weeks of violence that has left at least 106 people dead, almost all of them Palestinian.	Palestinians -> government	True	False	[[[31, 31], [22, 25]]]	[['them', 'at least 106 people']]	[[[22, 25], [31, 31]]]	[['at least 106 people', 'them']]	[[[0, 0], [9, 10]], [[22, 25], [31, 31]]]	[['Egypt', 'the government'], ['at least 106 people', 'them']]	100.0	100.0	50.0	100.0	{20, 14}	{16, 3, 4, 22}	False
888	bn/cnn/04/cnn_0429	54	68	It is no secret that the significant differences between our two countries earlier this year on how best to handle Iraq, but we are now able to look forward together firmly in agreement on the route we have decided in the United Nations, although, the tragic loss of British lives today reminds us all of the difficulties to be faced.	It is no secret that the significant differences between our two countries earlier this year on how best to handle Iraq, but we are now able to look forward together firmly in agreement on the route we have decided in the United Nations, although, the tragic tale of British lives today reminds us all of the difficulties to be faced.	loss -> tale	False	False	[[[9, 11], [23, 23], [37, 37]]]	[['our two countries', 'we', 'we']]	[[[23, 23], [37, 37], [55, 55]]]	[['we', 'we', 'us']]	[[[23, 23], [37, 37]]]	[['we', 'we']]	33.33	33.33	100.0	33.33	{4, 8, 13}	{4, 8, 13}	True
2471	bn/pri/00/pri_0029	137	70	Egypt called the emergency summit to declare support for the Palestinians in the wake of three weeks of violence that has left at least 106 people dead, almost all of them Palestinian.	Egypt called the emergency summit to declare support for the Palestinians in the wake of three weeks of violence that has left at least 106 women dead, almost all of them Palestinian.	people -> women	True	False	[[[31, 31], [22, 25]]]	[['them', 'at least 106 people']]	[[[22, 25], [31, 31]]]	[['at least 106 people', 'them']]	[]	[]	100.0	100.0	0.0	0.0	{20, 14}	set()	False
2789	nw/xinhua/00/chtb_0059	173	1	Currently, Shanghai has established trade contacts with 205 countries and regions, and Southeast Asia, Oceania, Latin America, the Middle East and South Africa have become new markets opened up by Shanghai.	Currently, india has established trade contacts with 205 countries and regions, and Southeast Asia, Oceania, Latin America, the Middle East and South Africa have become new markets opened up by Shanghai.	Shanghai -> india	True	False	[[[2, 2], [35, 35]]]	[['Shanghai', 'Shanghai']]	[[[2, 2], [35, 35]]]	[['Shanghai', 'Shanghai']]	[]	[]	100.0	100.0	0.0	0.0	{10, 4}	set()	False
3054	bn/nbc/00/nbc_0029	186	13	Tonight for both George Bush and Al Gore and their war rooms all their advisers, this really comes down to a numbers game.	Tonight for both George Bush and john Gore and their war rooms all their advisers, this really comes down to a numbers game.	Al -> john	False	False	[[[13, 13], [3, 7], [9, 9]]]	[['their', 'George Bush and Al Gore', 'their']]	[[[2, 7], [9, 9]]]	[['both George Bush and Al Gore', 'their']]	[]	[]	0.0	0.0	0.0	0.0	{5, 6}	set()	False
732	bn/abc/00/abc_0009	51	6	The Palestinians clearly face the greatest pressure in this summit, since the Israelis are not the only ones blaming them for the outbreak of violence.	The Palestinians clearly face the new pressure in this summit, since the Israelis are not the only ones blaming them for the outbreak of violence.	greatest -> new	False	False	[[[0, 1], [20, 20]]]	[['The Palestinians', 'them']]	[[[12, 13], [20, 20]]]	[['the Israelis', 'them']]	[[[0, 1], [20, 20]]]	[['The Palestinians', 'them']]	0.0	0.0	0.0	0.0	{9, 5}	{9, 3}	False
1977	nw/wsj/23/wsj_2377	122	9	Thus, in a civil case, a defendant may be called as a witness, he may be forced to testify or take the Fifth, and his taking of the Fifth may permit the drawing of an adverse inference against him in the civil matter.	Thus, in a civil matter, a defendant may be called as a witness, he may be forced to testify or take the Fifth, and his taking of the Fifth may permit the drawing of an adverse inference against him in the civil matter.	case -> matter	False	False	[[[7, 8], [16, 16], [28, 28], [42, 42]], [[24, 25], [31, 32]], [[28, 32], [23, 23]]]	[['a defendant', 'he', 'his', 'him'], ['the Fifth', 'the Fifth'], ['his taking of the Fifth', 'take']]	[[[7, 8], [16, 16], [28, 28], [42, 42]], [[24, 25], [31, 32]]]	[['a defendant', 'he', 'his', 'him'], ['the Fifth', 'the Fifth']]	[[[3, 5], [44, 46]], [[7, 8], [16, 16], [28, 28], [42, 42]], [[24, 25], [31, 32]]]	[['a civil matter', 'the civil matter'], ['a defendant', 'he', 'his', 'him'], ['the Fifth', 'the Fifth']]	100.0	63.75	63.75	100.0	{4, 5, 6, 7, 10}	{4, 5, 6, 7, 10}	True
1033	bn/voa/00/voa_0049	57	40	Among other things, the US has worked with Bangladesh to establish the Tropical Forest Conservation Fund, the first of its kind in the world.	Among other things, the US has worked with Bangladesh to establish the Tropical Forest protection Fund, the first of its kind in the world.	Conservation -> protection	True	False	[[[12, 25], [21, 21]]]	[['the Tropical Forest Conservation Fund , the first of its kind in the world', 'its']]	[[[12, 25], [21, 21]]]	[['the Tropical Forest Conservation Fund, the first of its kind in the world', 'its']]	[]	[]	100.0	100.0	0.0	0.0	{11, 4}	set()	False
1556	bn/voa/02/voa_0249	96	1	Reports from China say North Korean President Kim Jong Il is planning to announce economic reforms for his country.	Reports from wikipedia say North Korean President Kim Jong Il is planning to announce economic reforms for his country.	China -> wikipedia	False	False	[[[4, 9], [17, 17]]]	[['North Korean President Kim Jong Il', 'his']]	[[[2, 2], [17, 18]], [[4, 9], [17, 17]]]	[['China', 'his country'], ['North Korean President Kim Jong Il', 'his']]	[[[4, 9], [17, 17], [17, 18]]]	[['North Korean President Kim Jong Il', 'his', 'his country']]	50.0	100.0	16.66	25.0	{8, 12, 5}	{8, 12}	False
2468	bn/pri/00/pri_0029	137	67	Egypt called the emergency summit to declare support for the Palestinians in the wake of three weeks of violence that has left at least 106 people dead, almost all of them Palestinian.	Egypt called the emergency summit to declare support for the Palestinians in the wake of three weeks of violence that has left at maximum 106 people dead, almost all of them Palestinian.	least -> maximum	True	False	[[[31, 31], [22, 25]]]	[['them', 'at least 106 people']]	[[[22, 25], [31, 31]]]	[['at least 106 people', 'them']]	[[[23, 25], [31, 31]]]	[['maximum 106 people', 'them']]	100.0	100.0	0.0	0.0	{20, 14}	{19, 20}	False
746	bn/abc/00/abc_0009	51	20	The Palestinians clearly face the greatest pressure in this summit, since the Israelis are not the only ones blaming them for the outbreak of violence.	The Palestinians clearly face the greatest pressure in this film, since the Israelis are not the only ones blaming them for the outbreak of violence.	summit -> film	False	False	[[[0, 1], [20, 20]]]	[['The Palestinians', 'them']]	[[[12, 13], [20, 20]]]	[['the Israelis', 'them']]	[[[0, 1], [20, 20]]]	[['The Palestinians', 'them']]	0.0	0.0	0.0	0.0	{9, 5}	{9, 3}	False
3019	bn/pri/00/pri_0079	182	0	I think he has published about 18 plays now and he writes his plays in French.	I think he has published about 18 books now and he writes his plays in French.	plays -> books	False	False	[[[2, 2], [10, 10], [12, 12]]]	[['he', 'he', 'his']]	[[[0, 0], [2, 2], [10, 10]]]	[['I', 'he', 'he']]	[[[0, 0], [2, 2], [10, 10], [12, 12]]]	[['I', 'he', 'he', 'his']]	33.33	33.33	50.0	100.0	{4, 7, 8}	{4, 5, 7, 8}	False
887	bn/cnn/04/cnn_0429	54	67	It is no secret that the significant differences between our two countries earlier this year on how best to handle Iraq, but we are now able to look forward together firmly in agreement on the route we have decided in the United Nations, although, the tragic loss of British lives today reminds us all of the difficulties to be faced.	It is no secret that the significant differences between our two countries earlier this year on how best to handle Iraq, but we are now able to look forward together firmly in agreement on the route we have decided in the United Nations, although, the tragic tragedy of British lives today reminds us all of the difficulties to be faced.	loss -> tragedy	False	False	[[[9, 11], [23, 23], [37, 37]]]	[['our two countries', 'we', 'we']]	[[[23, 23], [37, 37], [55, 55]]]	[['we', 'we', 'us']]	[[[23, 23], [37, 37]]]	[['we', 'we']]	33.33	33.33	100.0	33.33	{4, 8, 13}	{4, 8, 13}	True
801	bn/abc/00/abc_0009	51	75	The Palestinians clearly face the greatest pressure in this summit, since the Israelis are not the only ones blaming them for the outbreak of violence.	The Palestinians clearly face the greatest pressure in this summit, since the Israelis are not the only ones blaming them for the outbreak of war.	violence -> war	False	False	[[[0, 1], [20, 20]]]	[['The Palestinians', 'them']]	[[[12, 13], [20, 20]]]	[['the Israelis', 'them']]	[[[0, 1], [20, 20]]]	[['The Palestinians', 'them']]	0.0	0.0	0.0	0.0	{9, 5}	{9, 3}	False
294	bn/voa/01/voa_0179	24	16	One large utility company, Southern California Edison says it may have to file for bankruptcy unless government officials can offer some relief.	One large utility sizes, Southern California Edison says it may have to file for bankruptcy unless government officials can offer some relief.	company -> sizes	True	False	[[[0, 7], [9, 9]]]	[['One large utility company , Southern California Edison', 'it']]	[[[0, 7], [9, 9]]]	[['One large utility company, Southern California Edison', 'it']]	[]	[]	100.0	100.0	0.0	0.0	{4, 6}	set()	False
758	bn/abc/00/abc_0009	51	32	The Palestinians clearly face the greatest pressure in this summit, since the Israelis are not the only ones blaming them for the outbreak of violence.	The Palestinians clearly face the greatest pressure in this summit, since the people are not the only ones blaming them for the outbreak of violence.	Israelis -> people	False	False	[[[0, 1], [20, 20]]]	[['The Palestinians', 'them']]	[[[12, 13], [20, 20]]]	[['the Israelis', 'them']]	[[[0, 1], [12, 13], [20, 20]]]	[['The Palestinians', 'the people', 'them']]	0.0	0.0	33.33	100.0	{9, 5}	{9, 3, 5}	False
3	bn/voa/02/voa_0209	2	1	Thank you very much, Tony.	Thank you very much, mr.	Tony -> mr	True	False	[[[1, 1], [5, 5]]]	[['you', 'Tony']]	[[[1, 1], [5, 5]]]	[['you', 'Tony']]	[]	[]	100.0	100.0	0.0	0.0	{4}	set()	False
1146	bn/voa/01/voa_0179	73	10	The extension of the federal order will require power suppliers in the West to keep sending their surplus electricity to California.	The extension of the current order will require power suppliers in the West to keep sending their surplus electricity to California.	federal -> current	True	False	[[[8, 12], [16, 16]]]	[['power suppliers in the West', 'their']]	[[[8, 12], [16, 16]]]	[['power suppliers in the West', 'their']]	[]	[]	100.0	100.0	0.0	0.0	{10, 5}	set()	False
3033	bn/pri/00/pri_0079	182	14	I think he has published about 18 plays now and he writes his plays in French.	I think he has published about 18 plays now and he writes his shows in French.	plays -> shows	False	False	[[[2, 2], [10, 10], [12, 12]]]	[['he', 'he', 'his']]	[[[0, 0], [2, 2], [10, 10]]]	[['I', 'he', 'he']]	[[[2, 2], [10, 10]]]	[['he', 'he']]	33.33	33.33	100.0	33.33	{4, 7, 8}	{4, 7, 8}	True
2581	bn/voa/00/voa_0099	153	58	President Clinton arrived in Brunei Tuesday, getting a red carpet welcome from officials of the tiny Islamic sultanate.	President Clinton arrived in Brunei Tuesday, getting a red carpet welcome from officials of the tiny Islamic college.	sultanate -> college	True	False	[[[15, 18], [4, 4]]]	[['the tiny Islamic sultanate', 'Brunei']]	[[[4, 4], [15, 18]]]	[['Brunei', 'the tiny Islamic sultanate']]	[]	[]	100.0	100.0	0.0	0.0	{9, 5}	set()	False
756	bn/abc/00/abc_0009	51	30	The Palestinians clearly face the greatest pressure in this summit, since the Israelis are not the only ones blaming them for the outbreak of violence.	The Palestinians clearly face the greatest pressure in this summit, since the palestinians are not the only ones blaming them for the outbreak of violence.	Israelis -> palestinians	False	False	[[[0, 1], [20, 20]]]	[['The Palestinians', 'them']]	[[[12, 13], [20, 20]]]	[['the Israelis', 'them']]	[[[0, 1], [12, 13], [20, 20]]]	[['The Palestinians', 'the palestinians', 'them']]	0.0	0.0	33.33	100.0	{9, 5}	{9, 3, 5}	False
686	bn/pri/00/pri_0049	38	5	It is because they know they have the inspiration in their country.	It is because they know they have the one in their country.	inspiration -> one	True	False	[[[10, 10], [3, 3], [5, 5]]]	[['their', 'they', 'they']]	[[[3, 3], [5, 5], [10, 10]]]	[['they', 'they', 'their']]	[[[3, 3], [5, 5]]]	[['they', 'they']]	100.0	100.0	100.0	33.33	{9, 12, 6}	{9, 6}	False
1618	bn/voa/02/voa_0249	96	63	Reports from China say North Korean President Kim Jong Il is planning to announce economic reforms for his country.	Reports from China say North Korean President Kim Jong Il is planning to announce economic reforms for his friends.	country -> friends	False	False	[[[4, 9], [17, 17]]]	[['North Korean President Kim Jong Il', 'his']]	[[[2, 2], [17, 18]], [[4, 9], [17, 17]]]	[['China', 'his country'], ['North Korean President Kim Jong Il', 'his']]	[[[4, 9], [17, 17]]]	[['North Korean President Kim Jong Il', 'his']]	50.0	100.0	50.0	25.0	{8, 12, 5}	{8, 12}	False
1189	bn/voa/01/voa_0179	73	53	The extension of the federal order will require power suppliers in the West to keep sending their surplus electricity to California.	The extension of the federal order will require power suppliers in the West to keep sending their surplus generators to California.	electricity -> generators	True	False	[[[8, 12], [16, 16]]]	[['power suppliers in the West', 'their']]	[[[8, 12], [16, 16]]]	[['power suppliers in the West', 'their']]	[]	[]	100.0	100.0	0.0	0.0	{10, 5}	set()	False
1843	bn/cnn/03/cnn_0379	110	13	She is asking anyone who finds the pair to give them back.	She is asking anyone who finds the heart to give them back.	pair -> heart	True	False	[[[6, 7], [10, 10]]]	[['the pair', 'them']]	[[[6, 7], [10, 10]]]	[['the pair', 'them']]	[]	[]	100.0	100.0	0.0	0.0	{9, 13}	set()	False
1021	bn/voa/00/voa_0049	57	28	Among other things, the US has worked with Bangladesh to establish the Tropical Forest Conservation Fund, the first of its kind in the world.	Among other things, the US has worked with Bangladesh to establish the tiger Forest Conservation Fund, the first of its kind in the world.	Tropical -> tiger	True	False	[[[12, 25], [21, 21]]]	[['the Tropical Forest Conservation Fund , the first of its kind in the world', 'its']]	[[[12, 25], [21, 21]]]	[['the Tropical Forest Conservation Fund, the first of its kind in the world', 'its']]	[]	[]	100.0	100.0	0.0	0.0	{11, 4}	set()	False
755	bn/abc/00/abc_0009	51	29	The Palestinians clearly face the greatest pressure in this summit, since the Israelis are not the only ones blaming them for the outbreak of violence.	The Palestinians clearly face the greatest pressure in this part, since the Israelis are not the only ones blaming them for the outbreak of violence.	summit -> part	False	False	[[[0, 1], [20, 20]]]	[['The Palestinians', 'them']]	[[[12, 13], [20, 20]]]	[['the Israelis', 'them']]	[[[0, 1], [20, 20]]]	[['The Palestinians', 'them']]	0.0	0.0	0.0	0.0	{9, 5}	{9, 3}	False
1062	bn/voa/00/voa_0049	57	69	Among other things, the US has worked with Bangladesh to establish the Tropical Forest Conservation Fund, the first of its kind in the world.	Among other things, the US has worked with Bangladesh to establish the Tropical Forest Conservation Fund, the first of its sorts in the world.	kind -> sorts	True	False	[[[12, 25], [21, 21]]]	[['the Tropical Forest Conservation Fund , the first of its kind in the world', 'its']]	[[[12, 25], [21, 21]]]	[['the Tropical Forest Conservation Fund, the first of its kind in the world', 'its']]	[]	[]	100.0	100.0	0.0	0.0	{11, 4}	set()	False
890	bn/cnn/04/cnn_0429	54	70	It is no secret that the significant differences between our two countries earlier this year on how best to handle Iraq, but we are now able to look forward together firmly in agreement on the route we have decided in the United Nations, although, the tragic loss of British lives today reminds us all of the difficulties to be faced.	It is no secret that the significant differences between our two countries earlier this year on how best to handle Iraq, but we are now able to look forward together firmly in agreement on the route we have decided in the United Nations, although, the tragic scene of British lives today reminds us all of the difficulties to be faced.	loss -> scene	False	False	[[[9, 11], [23, 23], [37, 37]]]	[['our two countries', 'we', 'we']]	[[[23, 23], [37, 37], [55, 55]]]	[['we', 'we', 'us']]	[[[23, 23], [37, 37]]]	[['we', 'we']]	33.33	33.33	100.0	33.33	{4, 8, 13}	{4, 8, 13}	True
1143	bn/voa/01/voa_0179	73	7	The extension of the federal order will require power suppliers in the West to keep sending their surplus electricity to California.	The extension of the original order will require power suppliers in the West to keep sending their surplus electricity to California.	federal -> original	True	False	[[[8, 12], [16, 16]]]	[['power suppliers in the West', 'their']]	[[[8, 12], [16, 16]]]	[['power suppliers in the West', 'their']]	[]	[]	100.0	100.0	0.0	0.0	{10, 5}	set()	False
3078	bn/nbc/00/nbc_0029	186	37	Tonight for both George Bush and Al Gore and their war rooms all their advisers, this really comes down to a numbers game.	Tonight for both George Bush and Al Gore and their war rooms all their time, this really comes down to a numbers game.	advisers -> time	False	False	[[[13, 13], [3, 7], [9, 9]]]	[['their', 'George Bush and Al Gore', 'their']]	[[[2, 7], [9, 9]]]	[['both George Bush and Al Gore', 'their']]	[[[2, 7], [9, 9], [13, 13]]]	[['both George Bush and Al Gore', 'their', 'their']]	0.0	0.0	33.33	100.0	{5, 6}	{5, 6}	True
